City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Panzhihua,CN,47.62,clear sky,26.5851,101.7128,Electric Power Hotel
7,Defiance,US,43.0,clear sky,41.3334,-84.45,Airway Estates
8,Punta Arenas,CL,53.71,scattered clouds,-53.15,-70.9167,Hotel Hain
10,Ovre Ardal,NO,29.28,light snow,61.3167,7.8,Sitla Motel & Apartment
11,Codrington,AU,56.84,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
12,Bam,IR,55.29,clear sky,29.106,58.357,Bam Tourist Hotel
14,Vrangel,RU,28.11,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
18,Kodiak,US,24.31,broken clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
19,Hornepayne,CA,27.77,snow,49.2138,-84.7705,Kay-Vee Lodge Ltd
22,Torbay,CA,41.58,broken clouds,47.6666,-52.7314,Gallows Cove
25,Komsomolskiy,UZ,36.82,overcast clouds,40.4272,71.7189,Ikathouse
29,Mataura,NZ,59.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
31,Straumen,NO,36.95,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
33,Alghero,IT,53.69,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
34,Hamilton,US,50.74,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
37,Upernavik,GL,-12.21,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
39,Jamestown,US,47.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
40,Ushuaia,AR,58.62,scattered clouds,-54.8,-68.3,Albatross Hotel
41,Hasaki,JP,39.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
42,Zanjan,IR,26.87,overcast clouds,36.6736,48.4787,Qasr Hotel
48,Barrow,US,-25.58,haze,71.2906,-156.7887,King Eider Inn
52,Pevek,RU,-32.64,overcast clouds,69.7008,170.3133,Severnoye Zoloto
58,Waitati,NZ,59.81,light rain,-45.75,170.5667,Arden Country House BnB Dunedin
60,Nerchinskiy Zavod,RU,-18.53,broken clouds,51.3088,119.61,Gostinitsa
67,Altay,CN,5.7,overcast clouds,47.8667,88.1167,Jinqiao Hotel
68,Shevchenkove,UA,33.58,overcast clouds,49.6959,37.1735,Hotelʹ Komunalʹnoho Pidpryyemstva Akva
70,Oktyabrskiy,RU,21.22,overcast clouds,54.4815,53.471,Гостиница Октябрьская
74,Gavle,SE,38.5,scattered clouds,60.6745,17.1417,Scandic CH
76,Elizabeth City,US,57.22,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
86,Jalu,LY,55.06,few clouds,29.0331,21.5482,صاحبة الفخامة
88,Hofn,IS,26.62,few clouds,64.2539,-15.2082,Hótel Höfn
91,Yellowknife,CA,-9.58,light snow,62.456,-114.3525,The Explorer Hotel
92,Severo-Kurilsk,RU,31.53,light snow,50.6789,156.125,Kak Doma
94,Qaanaaq,GL,-20.76,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
96,Korla,CN,26.62,overcast clouds,41.7597,86.1469,Gulisitan Hotel
99,Thompson,CA,-3.84,broken clouds,55.7435,-97.8558,Burntwood Hotel
100,Nanortalik,GL,22.57,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
101,Turukhansk,RU,-22.27,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
106,Fort Nelson,CA,2.79,overcast clouds,58.8053,-122.7002,The Fort Nelson Hotel
107,Clyde River,CA,-19.97,broken clouds,70.4692,-68.5914,Qamaq Hotel
108,Nome,US,-7.53,light snow,64.5011,-165.4064,Dredge 7 Inn
110,Qaqortoq,GL,18.1,overcast clouds,60.7167,-46.0333,Siniffik Inn
