City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kapaa,US,22.0752,-159.319,71.92,84,20,9.22,light rain
1,Lavrentiya,RU,65.5833,-171.0,-25.35,91,57,7.14,broken clouds
2,Georgetown,MY,5.4112,100.3354,80.89,93,20,0.0,few clouds
3,Rikitea,PF,-23.1203,-134.9692,78.75,67,3,16.31,clear sky
4,Tual,ID,-5.6667,132.75,82.47,79,94,14.58,overcast clouds
5,Panzhihua,CN,26.5851,101.7128,47.62,56,4,1.61,clear sky
6,Cape Town,ZA,-33.9258,18.4232,73.89,71,0,12.66,clear sky
7,Defiance,US,41.3334,-84.45,43.0,65,0,8.05,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,53.71,37,40,29.93,scattered clouds
9,Srednekolymsk,RU,67.45,153.6833,-43.19,99,77,6.38,broken clouds
10,Ovre Ardal,NO,61.3167,7.8,29.28,97,100,9.35,light snow
11,Codrington,AU,-38.2667,141.9667,56.84,89,82,6.26,broken clouds
12,Bam,IR,29.106,58.357,55.29,25,0,3.29,clear sky
13,Saint-Philippe,RE,-21.3585,55.7679,76.59,79,98,7.49,overcast clouds
14,Vrangel,RU,42.7297,133.0839,28.11,93,100,3.36,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,79.09,78,40,3.44,scattered clouds
16,New Norfolk,AU,-42.7826,147.0587,62.1,65,89,1.99,overcast clouds
17,Hobart,AU,-42.8794,147.3294,62.46,82,100,1.14,overcast clouds
18,Kodiak,US,57.79,-152.4072,24.31,68,75,27.63,broken clouds
19,Hornepayne,CA,49.2138,-84.7705,27.77,94,100,4.47,snow
20,Vaini,TO,-21.2,-175.2,78.96,94,20,8.05,few clouds
21,Richards Bay,ZA,-28.783,32.0377,72.72,84,0,1.34,clear sky
22,Torbay,CA,47.6666,-52.7314,41.58,89,75,21.85,broken clouds
23,Hilo,US,19.7297,-155.09,67.8,92,100,6.91,overcast clouds
24,Berdigestyakh,RU,62.0989,126.6992,-37.07,100,70,0.58,broken clouds
25,Komsomolskiy,UZ,40.4272,71.7189,36.82,75,100,4.61,overcast clouds
26,Busselton,AU,-33.65,115.3333,62.1,69,10,12.53,clear sky
27,San Cristobal,VE,7.7669,-72.225,80.78,56,78,5.53,broken clouds
28,Butaritari,KI,3.0707,172.7902,81.64,78,97,16.6,light rain
29,Mataura,NZ,-46.1927,168.8643,59.49,99,100,2.19,overcast clouds
30,Cidreira,BR,-30.1811,-50.2056,75.16,56,31,10.83,scattered clouds
31,Straumen,NO,63.8709,11.2999,36.95,77,100,16.6,overcast clouds
32,Viedma,AR,-40.8135,-62.9967,95.4,20,91,15.01,overcast clouds
33,Alghero,IT,40.5589,8.3181,53.69,71,0,4.61,clear sky
34,Hamilton,US,39.1834,-84.5333,50.74,54,0,18.41,clear sky
35,Grand Gaube,MU,-20.0064,57.6608,79.2,78,32,1.99,scattered clouds
36,Puerto Ayora,EC,-0.7393,-90.3518,80.56,71,36,9.48,scattered clouds
37,Upernavik,GL,72.7868,-56.1549,-12.21,68,96,8.72,overcast clouds
38,Fomboni,KM,-12.28,43.7425,82.76,73,100,4.74,overcast clouds
39,Jamestown,US,42.097,-79.2353,47.52,52,0,12.66,clear sky
40,Ushuaia,AR,-54.8,-68.3,58.62,35,40,13.8,scattered clouds
41,Hasaki,JP,35.7333,140.8333,39.6,59,94,13.02,overcast clouds
42,Zanjan,IR,36.6736,48.4787,26.87,80,90,4.23,overcast clouds
43,Auki,SB,-8.7676,160.7034,78.67,85,100,7.67,light rain
44,Avarua,CK,-21.2078,-159.775,75.25,94,99,1.14,overcast clouds
